Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\Amol progenitor 96.96 index sort\141028EES Amol index plate2\ChipRun.bml,1361995093,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-10-28 12:41:43,00:30:58,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A62, P2 A6,Unknown,1,Ebf1,Test,15.0788699101556,0,Fail,0.0203228454321514,999,77.9543412575394,0,
S06-A61, P2 A6,Unknown,1,Cd48,Test,17.1879737026376,1,Pass,0.0203228454321514,81.5439675855217,999,1,
S06-A72, P2 A6,Unknown,1,Pbx1,Test,15.2184380306846,1,Pass,0.0203228454321514,82.6991736223572,999,1,
S06-A71, P2 A6,Unknown,1,Zfpm1,Test,15.8081779194086,1,Pass,0.0203228454321514,84.149568774555,999,1,
S06-A70, P2 A6,Unknown,1,Tcf7,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A69, P2 A6,Unknown,1,Notch1,Test,13.1578325681788,0,Pass,0.0203228454321514,83.8694027417773,75.2440862095089,0.571855836186093,
S06-A68, P2 A6,Unknown,1,Lyl1,Test,13.2404951133669,1,Pass,0.0203228454321514,87.6509657319188,999,1,
S06-A67, P2 A6,Unknown,1,Ezh1,Test,17.3358376056397,1,Pass,0.0203228454321514,79.9057715854553,999,1,
S06-A78, P2 A6,Unknown,1,CDK4,Test,9.76183550853132,1,Pass,0.0203228454321514,82.9044503241619,999,1,
S06-A77, P2 A6,Unknown,1,Tcfe2a,Test,11.8721812152701,1,Pass,0.0203228454321514,84.2002434898569,999,1,
S06-A76, P2 A6,Unknown,1,Mpl,Test,17.5992699009619,0,Fail,0.0203228454321514,999,78.9631896713831,0,
S06-A75, P2 A6,Unknown,1,Gfi1b,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A74, P2 A6,Unknown,1,Egr1,Test,17.5126609617435,0,Fail,0.0203228454321514,999,78.7662146053526,0,
S06-A73, P2 A6,Unknown,1,Cdkn1a,Test,15.2709630580626,1,Pass,0.0203228454321514,82.3479626861092,999,1,
S06-A84, P2 A6,Unknown,1,pbx3,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A83, P2 A6,Unknown,1,Cebpb,Test,16.2200413135577,1,Pass,0.0203228454321514,88.162042891211,999,1,
S06-A82, P2 A6,Unknown,1,TEK,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A81, P2 A6,Unknown,1,Prdm5,Test,14.387624311333,1,Pass,0.0203228454321514,80.2629253229869,999,1,
S06-A80, P2 A6,Unknown,1,Mdm2,Test,13.5235785466356,1,Pass,0.0203228454321514,79.8094773049952,999,1,
S06-A79, P2 A6,Unknown,1,GMNN,Test,11.4664938519868,1,Pass,0.0203228454321514,80.2577487951039,999,1,
S06-A90, P2 A6,Unknown,1,CDK6,Test,10.215812707339,1,Pass,0.0203228454321514,80.7752493563282,999,1,
S06-A89, P2 A6,Unknown,1,Trp53,Test,12.699314948901,1,Pass,0.0203228454321514,83.4099788837527,999,1,
S06-A88, P2 A6,Unknown,1,Myb,Test,10.255347854956,1,Pass,0.0203228454321514,82.1772740066359,999,1,
S06-A87, P2 A6,Unknown,1,Hlf,Test,16.1362823438886,1,Pass,0.0203228454321514,81.0918559331416,999,1,
S06-A86, P2 A6,Unknown,1,Ezh2,Test,11.7146300979468,1,Pass,0.0203228454321514,77.0045577436654,999,1,
S06-A85, P2 A6,Unknown,1,Cdkn1b,Test,15.0985151405655,1,Pass,0.0203228454321514,82.7168344599503,999,1,
S06-A96, P2 A6,Unknown,1,Runx1t1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A95, P2 A6,Unknown,1,Erg,Test,17.6430197169841,0,Fail,0.0203228454321514,85.6452461282888,78.0675618433415,0.750512375822318,
S06-A94, P2 A6,Unknown,1,Tgm2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A93, P2 A6,Unknown,1,Prmt2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A92, P2 A6,Unknown,1,mettl7a1,Test,14.6959573679902,1,Pass,0.0203228454321514,84.6092847085786,999,1,
S06-A91, P2 A6,Unknown,1,Hk3,Test,11.1074827097337,1,Pass,0.0203228454321514,84.1440219812357,999,1,
S95-A01, P2 H11,Unknown,1,Actb,Test,7.78976028765733,1,Pass,0.0203228454321514,83.3607239629663,999,1,
S95-A02, P2 H11,Unknown,1,Cdkn2d,Test,16.2962330238126,1,Pass,0.0203228454321514,83.0716424569519,999,1,
