Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\141104EES Plate3 Amol index\ChipRun.bml,1361995087,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-11-04 16:17:18,00:30:47,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A51, P3 A6,Unknown,1,Gata1,Test,20.4538993149861,0,Fail,0.01733464063088,999,77.9511065005253,0,
S06-A50, P3 A6,Unknown,1,Dntt,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A49, P3 A6,Unknown,1,Cd34,Test,10.5842180427921,1,Pass,0.01733464063088,81.013363170565,999,1,
S06-A60, P3 A6,Unknown,1,Nfe2,Test,15.8247864947768,1,Pass,0.01733464063088,84.2640531221594,999,1,
S06-A59, P3 A6,Unknown,1,Zfp612,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A58, P3 A6,Unknown,1,Tcf3,Test,12.8197154852013,1,Pass,0.01733464063088,85.6606535705529,999,1,
S06-A57, P3 A6,Unknown,1,Nkx2-3,Test,21.6721808913536,1,Pass,0.01733464063088,90.080791856269,999,1,
S06-A56, P3 A6,Unknown,1,Ly6a,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A55, P3 A6,Unknown,1,Etv6,Test,12.6709985119378,1,Pass,0.01733464063088,81.6447072689316,999,1,
S06-A66, P3 A6,Unknown,1,CDK2,Test,14.3994739478164,1,Pass,0.01733464063088,83.1199377613581,999,1,
S06-A65, P3 A6,Unknown,1,Tal1,Test,17.3316147261223,1,Pass,0.01733464063088,84.9798903204401,999,1,
S06-A64, P3 A6,Unknown,1,Meis1,Test,15.1482615734505,1,Pass,0.01733464063088,79.2050408533412,999,1,
